Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,c_total_pages,c_total_duration,c_product_share,c_page_value_per_product,Revenue
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Jul,1,2,8,1,Returning_Visitor,0,3,0.0,1.0,0.0,0
1,17.5,0,0.0,8,163.0,0.0,0.011111111,0.0,0.0,Mar,3,2,1,2,New_Visitor,1,9,180.5,0.8888888888888888,0.0,0
0,0.0,0,0.0,25,585.0,0.0,0.016,0.0,0.0,Mar,4,1,1,3,Returning_Visitor,0,25,585.0,1.0,0.0,0
1,29.2,0,0.0,7,75.6,0.0,0.025,0.0,0.0,Aug,1,1,4,2,New_Visitor,1,8,104.8,0.875,0.0,0
4,80.5,0,0.0,27,472.5,0.0,0.015384615,0.0,0.0,Dec,4,1,3,1,Returning_Visitor,1,31,553.0,0.8709677419354839,0.0,0
0,0.0,0,0.0,10,300.0,0.0,0.05,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,0,10,300.0,1.0,0.0,0
0,0.0,0,0.0,6,83.5,0.0,0.066666667,0.0,0.0,Nov,1,1,3,10,Returning_Visitor,0,6,83.5,1.0,0.0,0
1,28.0,4,162.0,23,659.0833333,0.013580247,0.020440917,21.1162963,0.0,May,2,2,8,1,Returning_Visitor,0,28,849.0833333,0.8214285714285714,0.9180998391304347,0
0,0.0,0,0.0,25,1512.52381,0.0,0.024,0.0,0.0,Mar,2,2,3,11,Returning_Visitor,0,25,1512.52381,1.0,0.0,0
2,630.5333333,0,0.0,33,357.8895238,0.0,0.007894737,0.0,0.0,Oct,3,2,7,4,Returning_Visitor,0,35,988.4228571,0.9428571428571428,0.0,0
0,0.0,0,0.0,57,1091.005876,0.007017544,0.027875244,0.0,0.0,Nov,2,2,6,2,Returning_Visitor,0,57,1091.005876,1.0,0.0,0
2,13.0,0,0.0,19,637.4285714,0.00952381,0.042857143,13.1307834,0.0,Nov,2,2,1,3,Returning_Visitor,0,21,650.4285714,0.9047619047619048,0.6910938631578948,0
3,54.5,0,0.0,6,148.75,0.022222222,0.033333333,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,0,9,203.25,0.6666666666666666,0.0,0
8,57.5,0,0.0,44,845.8333333,0.004255319,0.012765957,19.29753191,0.6,May,2,2,1,3,Returning_Visitor,0,52,903.3333333,0.8461538461538461,0.4385802706818182,1
0,0.0,0,0.0,10,257.0,0.0,0.01,0.0,0.0,May,2,5,2,2,Returning_Visitor,0,10,257.0,1.0,0.0,0
2,91.0,0,0.0,94,4698.796429,0.0,0.017659574,0.0,0.0,Nov,2,2,5,2,Returning_Visitor,1,96,4789.796429,0.9791666666666666,0.0,0
0,0.0,0,0.0,18,391.5833333,0.0,0.025,0.0,0.0,Dec,2,2,7,2,New_Visitor,0,18,391.5833333,1.0,0.0,0
0,0.0,0,0.0,20,513.3333333,0.0,0.015357143,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,0,20,513.3333333,1.0,0.0,0
5,188.0,0,0.0,25,1189.458333,0.0,0.006150794,36.89921429,0.6,May,2,10,1,4,Returning_Visitor,0,30,1377.458333,0.8333333333333334,1.4759685716000002,1
1,24.0,1,239.0,11,839.5,0.016666667,0.05,0.0,0.0,Mar,1,1,4,2,Returning_Visitor,0,13,1102.5,0.8461538461538461,0.0,0
0,0.0,0,0.0,14,1049.05,0.0,0.016666667,0.0,0.0,Nov,3,2,1,20,Returning_Visitor,0,14,1049.05,1.0,0.0,0
0,0.0,0,0.0,12,76.66666667,0.016666667,0.0375,0.0,0.0,Nov,2,2,3,13,Returning_Visitor,0,12,76.66666667,1.0,0.0,0
0,0.0,0,0.0,4,67.5,0.0,0.05,0.0,0.6,May,2,2,1,2,Returning_Visitor,0,4,67.5,1.0,0.0,0
2,25.0,0,0.0,6,65.0,0.0,0.025,0.0,0.0,Mar,2,2,1,2,New_Visitor,1,8,90.0,0.75,0.0,0
0,0.0,0,0.0,19,1440.166667,0.026315789,0.040350877,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,0,19,1440.166667,1.0,0.0,0
0,0.0,0,0.0,7,129.25,0.0,0.033333333,0.0,0.0,Dec,1,1,4,2,New_Visitor,1,7,129.25,1.0,0.0,0
3,56.0,0,0.0,61,1669.988095,0.008064516,0.025778523,0.0,0.0,Nov,1,1,7,2,Returning_Visitor,0,64,1725.988095,0.953125,0.0,0
8,318.8012821,3,164.0,107,4447.110508,0.001169591,0.013146819,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,0,118,4929.9117901,0.9067796610169492,0.0,1
0,0.0,0,0.0,11,546.75,0.036363636,0.054545455,0.0,0.0,Nov,2,2,5,1,Returning_Visitor,0,11,546.75,1.0,0.0,0
0,0.0,0,0.0,15,438.6666667,0.023076923,0.039487179,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,0,15,438.6666667,1.0,0.0,0
3,92.0,0,0.0,91,4155.620833,0.002553191,0.022150056,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,1,94,4247.620833,0.9680851063829787,0.0,0
4,243.68,0,0.0,12,1256.0,0.0,0.01875,0.0,0.0,June,2,2,3,1,New_Visitor,0,16,1499.68,0.75,0.0,0
1,67.5,0,0.0,12,592.25,0.0,0.018181818,218.8649096,0.0,Dec,1,1,5,3,New_Visitor,0,13,659.75,0.9230769230769231,18.238742466666668,1
0,0.0,0,0.0,9,249.41,0.022222222,0.005128205,0.0,0.0,Nov,1,2,1,4,Returning_Visitor,0,9,249.41,1.0,0.0,0
1,25.5,0,0.0,0,0.0,0.0,0.066666667,0.0,0.0,Nov,1,1,8,8,New_Visitor,0,1,25.5,0.0,0.0,1
11,1064.0,1,10.0,58,3816.366667,0.010606061,0.028059163,6.221045455,0.0,May,2,5,3,1,Returning_Visitor,1,70,4890.366667,0.8285714285714286,0.10725940439655171,0
6,174.4571429,2,24.2,107,1688.2494,0.0,0.016407828,2.385969641,0.0,June,2,4,1,2,Returning_Visitor,1,115,1886.9065429,0.9304347826086956,0.022298781691588786,0
2,64.75,0,0.0,44,1157.97619,0.0,0.013953488,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,0,46,1222.72619,0.9565217391304348,0.0,0
4,324.5,0,0.0,30,1456.783333,0.0,0.009019608,30.01288235,0.0,May,2,2,4,2,Returning_Visitor,0,34,1781.283333,0.8823529411764706,1.0004294116666668,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,0,1,0.0,1.0,0.0,0
0,0.0,0,0.0,20,275.6666667,0.066666667,0.114814815,0.0,0.0,May,2,2,1,4,Returning_Visitor,0,20,275.6666667,1.0,0.0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,4,2,1,3,Returning_Visitor,0,1,0.0,1.0,0.0,0
2,28.2,1,0.0,114,3161.074762,0.017699115,0.042576205,0.0,0.0,Aug,2,2,2,1,Returning_Visitor,0,117,3189.274762,0.9743589743589743,0.0,0
0,0.0,0,0.0,8,623.0769231,0.0,0.010884354,0.0,0.0,May,3,2,4,3,Returning_Visitor,0,8,623.0769231,1.0,0.0,0
0,0.0,0,0.0,16,213.8,0.00625,0.06875,0.0,0.0,Aug,2,2,1,4,Returning_Visitor,0,16,213.8,1.0,0.0,1
0,0.0,0,0.0,3,255.0,0.0,0.066666667,0.0,0.0,June,2,2,3,4,Returning_Visitor,0,3,255.0,1.0,0.0,0
1,4.75,2,78.0,67,1231.136508,0.002985075,0.0110199,0.0,0.0,Mar,2,6,1,1,Returning_Visitor,0,70,1313.886508,0.9571428571428572,0.0,0
7,398.0,0,0.0,27,770.3133333,0.006060606,0.03030303,10.05190252,0.0,Oct,1,8,3,3,Returning_Visitor,0,34,1168.3133333,0.7941176470588235,0.37229268592592596,1
0,0.0,1,0.0,0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,3,15,Returning_Visitor,0,1,0.0,0.0,0.0,0
0,0.0,0,0.0,17,1673.653846,0.039215686,0.05122549,0.0,0.0,May,3,2,3,4,Returning_Visitor,0,17,1673.653846,1.0,0.0,0
3,199.75,0,0.0,8,331.4,0.0,0.003333333,0.0,0.0,Mar,3,2,2,10,New_Visitor,0,11,531.15,0.7272727272727273,0.0,0
4,57.3,0,0.0,25,488.7166667,0.021428571,0.067517007,0.0,0.0,June,2,5,1,1,Returning_Visitor,0,29,546.0166667,0.8620689655172413,0.0,0
0,0.0,0,0.0,1,41.5,0.133333333,0.15,0.0,0.0,Dec,3,2,3,1,Returning_Visitor,1,1,41.5,1.0,0.0,0
5,126.25,0,0.0,15,286.5166667,0.005263158,0.01754386,0.0,0.0,Dec,1,1,2,10,Returning_Visitor,0,20,412.7666667,0.75,0.0,0
0,0.0,0,0.0,6,69.25,0.0,0.044444444,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,0,6,69.25,1.0,0.0,0
6,1489.041667,0,0.0,12,879.8,0.0,0.005555556,0.0,0.0,Nov,2,2,4,2,New_Visitor,1,18,2368.8416669999997,0.6666666666666666,0.0,0
1,15.8,3,97.8,32,1213.65,0.005405405,0.024324324,1.273317415,0.0,Aug,2,2,3,2,Returning_Visitor,0,36,1327.25,0.8888888888888888,0.03979116921875,1
0,0.0,0,0.0,14,208.9,0.0,0.014285714,0.0,0.0,Nov,1,8,4,11,Returning_Visitor,1,14,208.9,1.0,0.0,0
0,0.0,0,0.0,8,135.25,0.0,0.05,0.0,0.0,Nov,2,2,9,1,Returning_Visitor,0,8,135.25,1.0,0.0,0
2,78.0,0,0.0,22,325.0,0.0,0.007246377,19.10349568,0.0,Dec,4,1,3,1,Returning_Visitor,1,24,403.0,0.9166666666666666,0.8683407127272728,1
15,275.9104437,6,606.75,47,1813.86461,0.007377049,0.019090804,9.417272131,0.0,May,3,2,4,6,Returning_Visitor,1,68,2696.5250537,0.6911764705882353,0.20036749214893618,0
0,0.0,3,27.6,11,1167.187143,0.030769231,0.040384615,0.0,0.0,June,3,2,2,2,Returning_Visitor,0,14,1194.787143,0.7857142857142857,0.0,0
0,0.0,0,0.0,11,458.5,0.0,0.007407407,0.0,0.0,May,1,1,1,4,Returning_Visitor,1,11,458.5,1.0,0.0,0
3,171.375,0,0.0,29,1343.946429,0.035714286,0.034983766,0.0,0.0,Nov,3,2,8,13,Returning_Visitor,1,32,1515.321429,0.90625,0.0,0
2,115.6,2,503.25,61,1880.271429,0.0,0.013347763,1.036090909,0.0,May,2,2,1,4,Returning_Visitor,0,65,2499.121429,0.9384615384615385,0.016985096868852457,0
1,33.5,0,0.0,18,1169.0,0.0,0.011764706,54.38258659,0.0,Dec,2,4,7,2,New_Visitor,0,19,1202.5,0.9473684210526315,3.021254810555556,1
0,0.0,0,0.0,65,1931.512121,0.0,0.025128205,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,0,65,1931.512121,1.0,0.0,0
1,140.5,0,0.0,19,1475.166667,0.02037037,0.043333333,16.9796231,0.0,Nov,3,2,2,10,Returning_Visitor,0,20,1615.666667,0.95,0.8936643736842106,0
1,45.4,0,0.0,15,114.9,0.0,0.025,0.0,0.0,Jul,2,2,3,4,New_Visitor,0,16,160.3,0.9375,0.0,0
4,250.0,0,0.0,11,418.0,0.0,0.014285714,0.0,0.0,May,2,2,1,2,New_Visitor,0,15,668.0,0.7333333333333333,0.0,0
6,155.0,0,0.0,84,2566.220887,0.0,0.007575758,16.56314545,0.0,Mar,2,2,7,2,Returning_Visitor,0,90,2721.220887,0.9333333333333333,0.1971803029761905,0
0,0.0,0,0.0,6,114.0,0.0,0.033333333,0.0,0.0,May,2,2,3,1,Returning_Visitor,1,6,114.0,1.0,0.0,0
0,0.0,0,0.0,3,15.0,0.0,0.066666667,0.0,0.2,May,1,1,3,3,Returning_Visitor,0,3,15.0,1.0,0.0,0
0,0.0,0,0.0,5,239.0,0.0,0.04,0.0,0.0,Mar,2,2,9,1,Returning_Visitor,0,5,239.0,1.0,0.0,0
8,377.5128205,3,265.0,60,2062.890972,0.014009662,0.026580162,1.70506715,0.0,Mar,1,1,4,2,Returning_Visitor,0,71,2705.4037925000002,0.8450704225352113,0.028417785833333334,1
0,0.0,3,16.0,35,1621.766667,0.007894737,0.040131579,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,1,38,1637.766667,0.9210526315789473,0.0,0
5,157.3333333,0,0.0,76,3923.586111,0.000865801,0.013675718,0.0,0.0,Nov,2,2,8,2,Returning_Visitor,1,81,4080.9194443,0.9382716049382716,0.0,0
1,143.0,4,48.0,16,333.75,0.0,0.003333333,0.0,0.0,Mar,1,1,1,2,New_Visitor,0,21,524.75,0.7619047619047619,0.0,0
9,175.9333333,0,0.0,28,717.2190476,0.005882353,0.017058824,0.0,1.0,May,2,2,5,4,Returning_Visitor,1,37,893.1523808999999,0.7567567567567568,0.0,0
0,0.0,0,0.0,5,146.0,0.146666667,0.186666667,0.0,0.0,Mar,3,2,7,3,Returning_Visitor,0,5,146.0,1.0,0.0,0
0,0.0,0,0.0,38,2259.533333,0.002105263,0.036549708,0.0,0.2,May,2,2,1,3,Returning_Visitor,0,38,2259.533333,1.0,0.0,0
1,0.0,0,0.0,16,2007.0,0.01875,0.054166667,0.0,0.0,Nov,1,1,3,1,Returning_Visitor,0,17,2007.0,0.9411764705882353,0.0,0
0,0.0,0,0.0,3,81.0,0.0,0.066666667,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,0,3,81.0,1.0,0.0,0
7,145.0,1,37.5,130,5252.861501,0.004411765,0.012009804,0.680988542,0.0,Nov,2,2,4,2,Returning_Visitor,0,138,5435.361501,0.9420289855072463,0.0052383734,1
0,0.0,0,0.0,21,192.9,0.059090909,0.104545455,0.0,0.0,Jul,2,2,1,3,Returning_Visitor,1,21,192.9,1.0,0.0,0
0,0.0,0,0.0,17,649.02,0.0,0.017647059,0.0,0.0,June,2,4,3,3,Returning_Visitor,0,17,649.02,1.0,0.0,0
2,26.0,0,0.0,4,636.0,0.0,0.025,0.0,0.2,May,3,2,1,19,Returning_Visitor,0,6,662.0,0.6666666666666666,0.0,0
4,785.2166667,0,0.0,8,450.8,0.016666667,0.016666667,0.0,0.0,Sep,3,2,3,5,Returning_Visitor,0,12,1236.0166667,0.6666666666666666,0.0,0
0,0.0,0,0.0,14,406.8666667,0.021428571,0.079761905,0.0,0.0,Jul,4,5,3,3,Returning_Visitor,0,14,406.8666667,1.0,0.0,0
1,8.0,0,0.0,51,1229.166667,0.0,0.019230769,0.0,0.6,May,2,5,4,6,Returning_Visitor,0,52,1237.166667,0.9807692307692307,0.0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Jul,3,2,4,1,Returning_Visitor,1,1,0.0,1.0,0.0,0
0,0.0,0,0.0,2,56.5,0.0,0.05,0.0,0.0,Nov,8,2,1,3,Returning_Visitor,0,2,56.5,1.0,0.0,0
0,0.0,0,0.0,4,107.0,0.0,0.05,0.0,0.8,May,2,5,3,2,Returning_Visitor,0,4,107.0,1.0,0.0,0
0,0.0,0,0.0,6,313.0,0.0,0.05,0.0,0.0,May,2,4,3,1,Returning_Visitor,0,6,313.0,1.0,0.0,0
0,0.0,0,0.0,9,145.0,0.066666667,0.122222222,0.0,0.8,May,3,2,1,13,Returning_Visitor,0,9,145.0,1.0,0.0,0
10,506.3883929,1,5.0,58,2528.287431,0.001318681,0.005582418,5.552517289,0.0,Nov,3,2,3,10,Returning_Visitor,0,69,3039.6758239,0.8405797101449275,0.09573305670689655,0
17,218.741707,4,808.5,74,3591.744196,0.019767442,0.015609868,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,0,95,4618.985903,0.7789473684210526,0.0,0
3,37.75,1,10.0,24,274.5,0.0,0.006666667,0.0,0.0,Dec,2,2,1,2,New_Visitor,0,28,322.25,0.8571428571428571,0.0,0
0,0.0,0,0.0,3,74.5,0.066666667,0.1,0.0,0.0,Dec,2,2,2,3,New_Visitor,0,3,74.5,1.0,0.0,0
0,0.0,0,0.0,3,39.5,0.0,0.033333333,0.0,0.0,Dec,1,1,9,8,New_Visitor,0,3,39.5,1.0,0.0,0
3,91.83333333,0,0.0,11,534.0,0.015384615,0.015384615,44.29661538,0.0,May,1,1,1,2,New_Visitor,0,14,625.83333333,0.7857142857142857,4.026965034545454,1
0,0.0,0,0.0,9,102.5,0.0,0.022222222,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,0,9,102.5,1.0,0.0,0
2,61.5,0,0.0,15,1950.386667,0.0,0.007291667,0.0,0.0,Nov,2,10,2,4,Returning_Visitor,1,17,2011.886667,0.8823529411764706,0.0,0
0,0.0,0,0.0,14,429.9166667,0.014285714,0.033333333,0.0,0.0,Nov,1,8,4,11,Returning_Visitor,0,14,429.9166667,1.0,0.0,0
7,135.2,5,430.3333333,68,3974.534501,0.013513514,0.019008442,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,1,80,4540.0678343,0.85,0.0,0
0,0.0,0,0.0,12,99.0,0.176923077,0.192307692,0.0,0.8,May,3,2,1,13,Returning_Visitor,0,12,99.0,1.0,0.0,0
2,19.0,0,0.0,23,1875.744689,0.028571429,0.041156463,0.0,0.0,May,3,2,4,1,Returning_Visitor,0,25,1894.744689,0.92,0.0,0
9,576.6208333,0,0.0,57,1878.195833,0.003472222,0.010446429,5.002669777,0.0,Nov,2,2,4,8,New_Visitor,0,66,2454.8166663,0.8636363636363636,0.0877661364385965,1
9,208.4,0,0.0,13,177.7333333,0.0,0.03125,0.0,0.0,May,1,1,8,4,Returning_Visitor,0,22,386.1333333,0.5909090909090909,0.0,0
1,66.4,0,0.0,22,641.4809524,0.0,0.004761905,0.0,0.0,Oct,3,2,4,6,New_Visitor,0,23,707.8809524,0.9565217391304348,0.0,0
1,42.5,0,0.0,67,2413.754403,0.006153846,0.01030303,0.0,0.0,Dec,1,1,6,1,Returning_Visitor,0,68,2456.254403,0.9852941176470589,0.0,0
5,169.975,3,106.0,90,4792.380767,0.004166667,0.007479289,41.55801982,0.0,Nov,3,2,6,1,Returning_Visitor,0,98,5068.355767,0.9183673469387755,0.46175577577777777,1
6,57.25,0,0.0,36,1930.410714,0.0125,0.018083333,21.39566828,0.0,Nov,1,1,1,2,Returning_Visitor,0,42,1987.660714,0.8571428571428571,0.5943241188888888,1
0,0.0,0,0.0,8,497.25,0.016666667,0.025,0.0,0.0,Dec,1,8,3,1,Returning_Visitor,1,8,497.25,1.0,0.0,0
0,0.0,0,0.0,9,206.6,0.0,0.005555556,0.0,0.0,Jul,2,4,3,4,New_Visitor,0,9,206.6,1.0,0.0,0
1,613.6666667,0,0.0,4,957.0,0.161904762,0.096298701,0.0,0.0,Mar,3,2,8,10,Returning_Visitor,0,5,1570.6666667,0.8,0.0,0
0,0.0,0,0.0,4,90.8,0.0,0.025,0.0,0.0,Oct,1,1,3,2,Returning_Visitor,1,4,90.8,1.0,0.0,0
0,0.0,0,0.0,5,0.0,0.2,0.2,0.0,0.6,May,3,2,8,13,Returning_Visitor,0,5,0.0,1.0,0.0,0
0,0.0,0,0.0,85,2112.101515,0.003529412,0.014196078,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,0,85,2112.101515,1.0,0.0,0
1,74.6,0,0.0,8,810.0,0.0,0.036666667,10.67716934,0.0,Nov,2,2,1,4,Returning_Visitor,0,9,884.6,0.8888888888888888,1.3346461675,0
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,0,3,395.0,1.0,0.0,0
1,46.5,0,0.0,40,2338.95,0.017073171,0.030325203,9.472914356,0.0,Nov,1,1,1,3,Returning_Visitor,0,41,2385.45,0.975609756097561,0.23682285890000002,1
1,383.8,0,0.0,11,92.4,0.0,0.016666667,0.0,0.0,Jul,2,2,9,2,New_Visitor,0,12,476.20000000000005,0.9166666666666666,0.0,0
0,0.0,0,0.0,6,236.5,0.0,0.016666667,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,1,6,236.5,1.0,0.0,0
0,0.0,2,193.25,106,5633.538274,0.008878505,0.017232253,0.0,1.0,May,3,2,8,2,Returning_Visitor,1,108,5826.788274,0.9814814814814815,0.0,0
2,39.2,0,0.0,6,86.4,0.0,0.028571429,0.0,0.0,Nov,1,1,3,3,New_Visitor,0,8,125.60000000000001,0.75,0.0,0
0,0.0,0,0.0,3,54.4,0.0,0.066666667,0.0,0.0,Aug,1,1,3,3,Returning_Visitor,1,3,54.4,1.0,0.0,0
4,183.25,1,21.0,20,651.4,0.0,0.004166667,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,0,25,855.65,0.8,0.0,0
0,0.0,0,0.0,12,417.0,0.1,0.125,0.0,0.6,May,2,5,1,3,Returning_Visitor,0,12,417.0,1.0,0.0,0
7,598.0,3,144.5,83,6860.632738,0.011512297,0.039305682,0.0,0.4,May,2,2,1,2,Returning_Visitor,0,93,7603.132738,0.8924731182795699,0.0,0
1,0.0,0,0.0,7,88.0,0.0625,0.116666667,0.0,0.8,May,3,2,1,6,Returning_Visitor,0,8,88.0,0.875,0.0,0
0,0.0,0,0.0,12,505.3333333,0.083333333,0.123412698,0.0,0.4,May,2,2,1,6,Returning_Visitor,0,12,505.3333333,1.0,0.0,0
1,82.0,0,0.0,59,1927.122222,0.007909605,0.023728814,23.87629104,0.0,May,2,2,9,13,Returning_Visitor,0,60,2009.122222,0.9833333333333333,0.4046828989830509,1
0,0.0,0,0.0,2,61.0,0.0,0.05,0.0,0.0,May,3,2,3,15,Returning_Visitor,0,2,61.0,1.0,0.0,0
1,51.5,0,0.0,27,818.3166667,0.007407407,0.017354497,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,0,28,869.8166667,0.9642857142857143,0.0,0
2,32.0,0,0.0,7,164.5,0.0,0.008333333,0.0,0.4,May,2,2,1,4,Returning_Visitor,0,9,196.5,0.7777777777777778,0.0,0
1,76.75,0,0.0,33,1356.458333,0.0,0.020833333,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,1,34,1433.208333,0.9705882352941176,0.0,0
12,232.3404762,1,19.2,22,504.0285714,0.0,0.003763441,0.0,0.0,Sep,1,1,1,3,New_Visitor,0,35,755.5690476,0.6285714285714286,0.0,0
0,0.0,1,126.0,45,1340.611199,0.028787879,0.028371212,0.0,0.0,May,3,2,3,18,Returning_Visitor,0,46,1466.611199,0.9782608695652174,0.0,0
0,0.0,0,0.0,3,18.0,0.033333333,0.166666667,0.0,1.0,May,3,2,1,4,Returning_Visitor,1,3,18.0,1.0,0.0,0
7,356.0,1,37.0,61,683.1738095,0.0,0.006349206,0.0,0.0,May,2,2,1,3,New_Visitor,0,69,1076.1738095,0.8840579710144928,0.0,0
7,165.9166667,2,150.5,42,3127.078788,0.009614512,0.021287825,0.0,0.0,Nov,1,1,3,2,Returning_Visitor,0,51,3443.4954546999998,0.8235294117647058,0.0,0
5,142.7,0,0.0,29,1858.733333,0.025806452,0.031075269,0.0,0.0,May,3,2,2,4,Returning_Visitor,0,34,2001.433333,0.8529411764705882,0.0,0
0,0.0,0,0.0,2,21.2,0.0,0.1,0.0,0.0,June,2,2,5,1,Returning_Visitor,0,2,21.2,1.0,0.0,0
0,0.0,0,0.0,74,2719.734091,0.008108108,0.024324324,0.0,0.0,Nov,2,2,5,1,Returning_Visitor,0,74,2719.734091,1.0,0.0,0
